Date,EUR/HUF,BUBOR 3-MO,EURIBOR 3-MO,50%RMAX+50%ZMAX,ESTER
2020-10-12,-0.21,0,0,0,-0.003
2020-10-13,2.2,0,0,0.005,0.001
2020-10-14,4.78,0,0,0,-0.001
2020-10-15,1.85,0.01,0,0,0
2020-10-16,-0.59,0,0,0.01,0.003
2020-10-19,0.22,0,0,0,0
2020-10-20,0.3,0,0,0,0
2020-10-21,-1.25,0,0,0.005,0.001
2020-10-22,0.63,0,0,0.01,-0.002
2020-10-26,0.26,0,0,-0.005,0.002
2020-10-27,0.05,0,0,0,-0.002
2020-10-28,1.98,0,0,0,-0.001
2020-10-29,1.99,0,-0.01,0.005,0.003
2020-10-30,-1.28,0,0,0.01,-0.005
2020-11-02,-0.9,0,0,0,0.002
2020-11-03,-3.82,0,0,0.015,0.002
2020-11-04,1.09,0,0,0,-0.005
2020-11-05,-4.15,0,0,0.03,0.002
2020-11-06,-1.2,0,0.01,-0.005,-0.002
2020-11-09,-0.75,0,-0.01,0.01,0
2020-11-10,1.01,0,0.01,0.005,0.001
2020-11-11,-3.81,0,-0.01,0.005,-0.001
2020-11-12,-0.28,0,0.01,-0.005,0.01
2020-11-13,0.41,0,0,0.01,-0.008
2020-11-16,2.73,0,-0.01,0.035,-0.002
2020-11-17,3.32,0,0,-0.005,0.001
2020-11-18,-0.09,0,-0.01,0.005,0
2020-11-19,0.09,0,0,0.01,0
2020-11-20,-2.17,0,0,0,0
2020-11-23,1.1,0,0.01,0.015,0
2020-11-24,0.61,0,0,0,0.001
2020-11-25,0.02,0,-0.01,0,0.002
2020-11-26,0.2,-0.01,0,0.005,-0.002
2020-11-27,0.04,0,0,0.005,-0.001
2020-11-30,-1.11,0,0,0.015,-0.003
2020-12-01,-2.72,0,0,-0.02,0.003
2020-12-02,-0.47,-0.01,0.01,0.01,0.001
2020-12-03,2.11,0,-0.01,0,0
2020-12-04,-0.39,0,0,0,0.001
2020-12-07,1.44,0,0,0.005,0
2020-12-08,0.84,0,-0.01,0,-0.004
2020-12-09,-2.98,0,-0.01,0,0.003
2020-12-10,-2.2,0,0,0,0
2020-12-11,-1.49,0,0.01,-0.005,-0.001
2020-12-14,-0.58,0,0,0.005,-0.001
2020-12-15,0.83,0,0,-0.015,0.007
2020-12-16,0.86,0,0,0,-0.006
2020-12-17,0.13,0,0,0.02,0.001
2020-12-18,2.1,0,0,-0.01,-0.002
2020-12-21,3.51,0,0.01,0.01,0.001
2020-12-22,0.5,0,-0.01,-0.005,-0.001
2020-12-23,0.76,0,0,0.025,-0.001
2020-12-28,1.12,0,0,0.015,0.006
2020-12-29,0.27,0,0,0,-0.004
2020-12-30,0.86,0,0,0.01,0.002
2021-01-04,-3.69,0,-0.01,0.005,-0.011
2021-01-05,0.39,0,0,0,0.003
2021-01-06,-4.02,0,-0.01,-0.005,-0.003
2021-01-07,-0.49,0,0.01,0,0.001
2021-01-08,2.92,0,0,0,0.003
2021-01-11,0.9,0,0,0.005,-0.002
2021-01-12,0,0,0,-0.005,0.001
2021-01-13,-1.23,0,0,0.005,0.001
2021-01-14,0.25,0,0,-0.01,-0.002
2021-01-15,-0.32,0,0,0.01,-0.002
2021-01-18,1.33,0,0,0,0.001
2021-01-19,-1.36,0,0,0,0.001
2021-01-20,-2.04,0,0.01,-0.01,0
2021-01-21,0.02,0,0,0.015,0.002
2021-01-22,-0.44,0,0,-0.005,0.001
2021-01-25,0.51,0,0,0.01,-0.003
2021-01-26,0.98,0,0,-0.005,0.006
2021-01-27,1.48,0,0,-0.005,-0.005
2021-01-28,0.6,0,0,0.005,0.002
2021-01-29,-1.87,0,-0.01,0,-0.003
2021-02-01,-1.91,0,0.01,0.005,-0.002
2021-02-02,-1.4,0,0,-0.005,0.002
2021-02-03,0.74,0,-0.01,0.005,0.006
2021-02-04,-0.13,0,0.01,0.025,-0.006
2021-02-05,0.63,0,0,0,-0.001
2021-02-08,1.75,0,0,0.005,0.002
2021-02-09,0.59,0,0,0.01,-0.001
2021-02-10,-0.69,0,0,0,0
2021-02-11,-1.33,0,0,-0.005,-0.001
2021-02-12,2.54,0,-0.01,0,0.001
2021-02-15,-0.18,0,0,0.21,0.001
2021-02-16,-1.47,0,0.01,0,-0.001
2021-02-17,1.4,0.01,-0.01,-0.025,0.001
2021-02-18,-0.25,0,0.01,-0.04,0.001
2021-02-19,-0.15,0,0,-0.045,-0.001
2021-02-22,0.59,0,0,-0.05,-0.001
2021-02-23,0.37,0,0,-0.005,-0.001
2021-02-24,-0.38,0,0,-0.005,0.001
2021-02-25,0.94,0,0,-0.005,0
2021-02-26,0.84,0.01,0.01,-0.005,-0.002
2021-03-01,1.81,0,0,0.005,0.003
2021-03-02,1.03,0,-0.01,0.005,-0.002
2021-03-03,-0.3,0,-0.01,-0.005,0
2021-03-04,1.01,0,0.01,0,0
2021-03-05,1.86,0,0,0.03,0.003
2021-03-08,1.33,0,0,-0.025,0.004
2021-03-09,-1.35,0,0,0.005,-0.002
2021-03-10,0.43,0,0,0.01,-0.002
2021-03-11,-0.71,0,0,-0.005,0.001
2021-03-12,0.26,0,0,0.04,-0.001
2021-03-16,0.96,0,0,0.085,0
2021-03-17,0.12,0,0,0,0.001
2021-03-18,0.25,0,0,0.045,-0.005
2021-03-19,0.54,0,0,-0.02,0.001
2021-03-22,-0.92,0,0,0,-0.001
2021-03-23,-0.43,0,0,0,0.003
2021-03-24,-1.28,0,0,-0.01,-0.001
2021-03-25,-0.91,0,0,0.005,0
2021-03-26,-0.58,0,0,-0.015,-0.004
2021-03-29,-1.41,0,0,-0.005,-0.002
2021-03-30,0.39,0,0,0,0
2021-03-31,0.62,0,0,0.015,-0.004
2021-04-01,-1.8,0.01,0,0.015,0.008
2021-04-06,-0.53,0,0,0.17,-0.001
2021-04-07,-0.95,0,0,0,0
2021-04-08,-1.75,0.01,-0.01,0.025,-0.003
2021-04-09,-0.03,0,0.01,-0.025,0.002
2021-04-12,-1.58,0,0,0.005,0.001
2021-04-13,1.48,0,0,0.005,0.004
2021-04-14,0.37,0,0,0,0.003
2021-04-15,-0.03,0,0,-0.045,-0.006
2021-04-16,1.93,0,0,-0.015,0.001
2021-04-19,0.47,0,0,-0.02,-0.002
2021-04-20,-0.34,0,0,0,0
2021-04-21,1.19,0,0,0.005,0.002
2021-04-22,1.05,0,0,0,0
2021-04-23,0.19,0,0,-0.005,0
2021-04-26,0.45,0,0,-0.01,-0.002
2021-04-27,-0.74,0,0,-0.005,0.007
2021-04-28,-1.1,0,0.01,0.005,-0.006
2021-04-29,-0.91,0,-0.01,-0.03,0
2021-04-30,-1.51,0,0,0.02,-0.003
2021-05-03,0.62,0,0,-0.01,0.002
2021-05-04,0.24,0,0,0.02,0.003
2021-05-05,-0.37,0,0.01,-0.015,-0.002
2021-05-06,-1.36,0,0,0.005,0.001
2021-05-07,-0.18,0,0,-0.025,0.002
2021-05-10,-0.34,0,0,-0.01,-0.004
2021-05-11,0.51,0,0,0,0.003
2021-05-12,-0.9,0,-0.01,-0.015,0
2021-05-13,-0.9,0,0,-0.005,0
2021-05-14,-0.75,0,-0.01,-0.015,0
2021-05-17,-3.69,0.06,0,-0.06,-0.001
2021-05-18,-1.48,0.03,0,-0.005,0.007
2021-05-19,0.48,0.01,0,0.01,-0.006
2021-05-20,-1.71,0,0,-0.005,0.001
2021-05-21,-0.25,0.01,0.01,0.005,-0.001
2021-05-25,-1.09,0.01,0,-0.01,-0.001
2021-05-26,1.9,0,0,-0.03,0
2021-05-27,-1.16,0,0,0,0.001
2021-05-28,-1.16,0,0,-0.015,-0.002
2021-05-31,0.24,0,0,-0.025,-0.005
2021-06-01,-0.92,0,-0.01,-0.005,0.007
2021-06-02,-0.94,0,0.01,0.005,0.001
2021-06-03,0.05,0.01,0,0,0
2021-06-04,0.92,0,-0.01,-0.01,0
2021-06-07,-1.71,0,0,-0.01,-0.001
2021-06-08,1.73,0,0.01,0,0.001
2021-06-09,-0.32,0,0,0,-0.001
2021-06-10,-0.75,0.01,-0.01,0,0.003
2021-06-11,-0.22,0,0,0,-0.005
2021-06-14,4.06,0,0,-0.01,0.001
2021-06-15,1.12,0,0.01,-0.01,0.004
2021-06-16,-0.12,0,-0.01,-0.015,-0.001
2021-06-17,2.65,0,0.01,-0.01,-0.001
2021-06-18,1.59,0,0,-0.025,0
2021-06-21,-0.66,0.01,0,-0.065,-0.001
2021-06-22,-0.87,0.01,0,0,0
2021-06-23,-4.57,0.09,0,-0.025,0.001
2021-06-24,0.23,0,0,-0.075,-0.002
2021-06-25,1.82,0,0,0,0
2021-06-28,-0.23,0.01,0,0.005,-0.001
2021-06-29,0.03,0,0,0.045,-0.002
2021-06-30,0.77,0,0,0.02,-0.013
2021-07-01,-0.59,0,0,0,0.016
2021-07-02,0.45,0,-0.01,0.015,0
2021-07-05,-0.32,0,0.01,-0.005,-0.001
2021-07-06,2.1,0,0,0,0.001
2021-07-07,0.79,0,-0.01,0.01,0
2021-07-08,3.77,0,0,-0.01,-0.001
2021-07-09,-2.12,0.01,0.01,0.03,0
2021-07-12,-0.64,0.01,0,0.04,-0.002
2021-07-13,1.01,0,-0.01,0,0.002
2021-07-14,2.3,0,0,0.01,0
2021-07-15,0.29,0,0,0.005,0
2021-07-16,0.35,0,0,0,-0.001
2021-07-19,0.8,0,0,0,0.001
2021-07-20,-0.54,0,0.01,0.005,-0.001
2021-07-21,0.18,0,-0.01,-0.005,-0.001
2021-07-22,-0.72,0,0,-0.005,0.005
2021-07-23,-0.25,0,0.01,-0.005,-0.004
2021-07-26,2.72,0,0,-0.005,0
2021-07-27,0.32,0,0,0.015,0.004
2021-07-28,-2.55,0.26,-0.01,-0.015,-0.004
2021-07-29,-0.44,0.02,0.01,0.005,0
2021-07-30,-1.19,0,0,0.01,-0.004
2021-08-02,-0.77,0,0,-0.02,0.006
2021-08-03,-1.69,0,-0.01,0.01,-0.005
2021-08-04,-0.36,0,0.01,-0.005,0
2021-08-05,-0.73,0,0,0.015,0.004
2021-08-06,-1,0,0,0.005,-0.003
2021-08-09,1.39,0,0,-0.005,0.001
2021-08-10,-1.88,0,-0.01,0.015,0.001
2021-08-11,2.15,0.01,0,0.01,0
2021-08-12,-1.52,0.01,0,-0.01,-0.001
2021-08-13,-0.52,0.01,0,0.005,-0.001
2021-08-16,-0.83,0,0,-0.01,0
2021-08-17,0.07,0.01,0,0.005,0.001
2021-08-18,-0.8,0.01,0,-0.005,0.001
2021-08-19,0.35,0.01,0,0.015,0
2021-08-23,-1.41,0.01,0,0,-0.001
2021-08-24,-0.9,0.02,0,-0.03,0.001
2021-08-25,-1.82,0.17,0,0.005,0.003
